"filename", "language", "JavaScript", "Markdown", "HTML", "JSON", "CSS", "XML", "Python", "SQL", "comment", "blank", "total"
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/CardContent.jsx", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/EmotionTimeSeriesChart.jsx", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 5, 15, 150
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/Login.module.css", "CSS", 0, 0, 0, 0, 261, 0, 0, 0, 1, 32, 294
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/LoginForm.jsx", "JavaScript", 159, 0, 0, 0, 0, 0, 0, 0, 21, 32, 212
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/Navbar.jsx", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 20, 14, 116
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/QuoteBox.jsx", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/RecentChatSummary.jsx", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/Sidebar.jsx", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 3, 8, 99
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/Sidebar.module.css", "CSS", 0, 0, 0, 0, 24, 0, 0, 0, 1, 2, 27
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/Signup.module.css", "CSS", 0, 0, 0, 0, 358, 0, 0, 0, 12, 45, 415
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/SignupForm.jsx", "JavaScript", 211, 0, 0, 0, 0, 0, 0, 0, 12, 27, 250
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/components/articleCarousel.jsx", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 1, 4, 40
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/index.css", "CSS", 0, 0, 0, 0, 80, 0, 0, 0, 4, 24, 108
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/main.jsx", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/middleware/tokenExpiryMiddleware.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 5, 3, 16
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/pages/ChatPage.jsx", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 0, 29, 18, 161
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/pages/HomePage.jsx", "JavaScript", 157, 0, 0, 0, 0, 0, 0, 0, 3, 19, 179
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/pages/Login.jsx", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 4, 105
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/pages/Profile.jsx", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 0, 1, 22, 152
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/pages/Signup.jsx", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 4, 105
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/frontend/src/utils/articleSlice.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 1, 6, 38
